idx1	idx2	t_1	t_2	t_3	q_1	q_2	q_3	q_4
0	5	6.58225947844887	-0.0173233514141972	0.0592349221252007	0.999997703823044	0.00196596767092548	0.000815261463344502	0.000250336779662919
1	5	5.27135889366715	-0.0144628577692073	0.0560824704888744	0.999998834444403	0.00151216087228743	0.000153977294022146	0.000144119137134031
2	8	7.94470240873639	-0.0271324525613895	0.0708334137454435	0.999998874799651	0.00149324002438459	2.45761843602923e-07	0.000143644007959536
3	5	2.64016047459428	-0.00896957199239623	0.0230568570850538	0.999999808879135	0.000256538095582022	0.00055230007910569	-0.0001067451291446
4	10	7.98123928563903	-0.0202294086399944	0.0456636026693667	0.999995839307432	-0.00259263210295807	-0.00126476031682563	-2.81858272365071e-06
5	8	3.98817511896842	-0.0132227250047884	0.0289874148126778	0.999999916512388	0.000354223526426413	0.000111871732099104	0.000170251655824827
6	10	5.33315967737869	-0.00743791774259522	0.0383825162210452	0.999991340602801	-0.00352829924601627	-0.00220392655336466	0.000111944586395924
7	14	9.39606754032176	-0.0145819241128249	0.0936981785209717	0.999997592850199	-0.00214488470529862	0.000213585072172662	-0.000410054661298962
8	14	8.0656127012518	-0.014019842152525	0.067343292953213	0.999997537547528	-0.00186703215735567	0.00107185291062026	-0.000538721766335591
9	14	6.73127154567417	-0.0123712130427141	0.0428798183655715	0.999996832294507	-0.000499363503543935	0.00239610057056034	-0.000587144870661282
10	15	6.74540560881463	-0.0189389848381007	0.0388595728917655	0.999995018186121	0.00259304503330433	0.0017754956398924	-0.000295526020229779
11	17	8.12596475039893	-0.0216193662711227	0.060486348049425	0.999994056603055	0.00340202077930983	-0.000245853216365672	-0.000502562811867835
12	18	8.1421666503882	-0.017773065241454	0.069084121239747	0.999996481086035	0.00251840616795247	5.75941618302796e-05	-0.000831942805972612
13	16	4.05907260486843	-0.0169930450750616	0.0366672032206488	0.999991091117954	0.00405466161220764	-0.00116970034008488	9.59429456046109e-05
14	15	1.35187224478849	-0.00707028985145955	0.0120424815638971	0.999998464337374	0.00136866506665735	-0.00108671428072121	0.000130885070920808
15	19	5.46268476202544	0.00519605346030878	0.0745941018475685	0.999994663603912	-0.00254438449309011	0.00180937295555111	-0.000961790391503438
16	18	2.73115126836767	0.00666647426592408	0.0343877622609028	0.999996260878541	-0.00263575475762337	-9.72109192005216e-05	-0.000722202070656229
